cond_type	embed_type	k2_sil_median	k2_sil_mean	k2_sil_count	form_sil_median	form_sil_mean	form_sil_count	k2_form_sil_ratio_median	k2_form_sil_ratio_mean	k2_form_sil_ratio_count	k2_var_mean_median	k2_var_mean_mean	k2_var_mean_count	form_var_mean_median	form_var_mean_mean	form_var_mean_count	k2_form_var_ratio_median	k2_form_var_ratio_mean	k2_form_var_ratio_count	all_var_median	all_var_mean	all_var_count
no_cond	delta	0.4488480639681158	0.44462260522474933	567	0.4393633544630519	0.42951511861624353	567	1.0	1.0955780828220527	567	14.80125405218051	442.67639364851095	567	15.44325392647988	442.99516619264216	567	1.0	0.9872563326587159	567	32.12096945359494	1257.8707512309677	567
no_cond	orig	0.1429409805842293	0.1571587991644217	567	0.0963593417013398	0.11560362209949095	567	1.1051496699513343	3.7237889164562494	567	64.28702042433306	1148.3308488612183	567	66.05125408716441	1270.759397942721	567	0.986355751258287	0.948310156332847	567	73.92498320803843	1582.5622598671387	567
prob	delta	0.4516658304913115	0.4233808062076852	337	0.4486445183713647	0.4329837799583335	337	1.0	1.281230359643527	337	17.79204046753692	521.2511452185939	337	18.85321380555498	503.3265210698254	337	1.0	1.019534675715152	337	36.590268796897185	1251.4253926940767	337
prob	orig	0.1432600233098734	0.15979288746697176	337	0.1052009771644294	0.12739973849942018	337	1.0238929274589854	1.8562064343064957	337	65.6667131659137	1224.870266811458	337	67.27932758283421	1334.0219173329126	337	1.0	0.9707681819101149	337	73.51343660584133	1602.3355933761322	337
cat	delta	0.21979768629057966	0.2729689655244859	312	0.4572718619599025	0.4469868793306345	207	1.0	0.8844660221824823	207	21.415215541771495	484.10585945541084	312	16.008764087639587	381.2143286892798	207	1.0	1.2391381129010621	207	30.781753929963624	835.7054858968194	312
cat	orig	0.12839584677381888	0.1439170763877632	312	0.1391370754644026	0.14445818511393638	207	0.8250099122706898	1.2208175547170976	207	57.23436052076488	920.1277503185579	312	54.80829611381971	883.8660260966475	207	1.1007065113811583	1.1573324332041166	207	69.83738341247808	1273.0176205963426	312
