model	embedding_type	label_type	pair_significance_bucket	n_systems	n_rows	n_samples_eval_total	n_samples_eval_mean	n_labels_mean	silhouette_cosine_mean	silhouette_cosine_weighted_mean	silhouette_euclidean_mean	silhouette_euclidean_weighted_mean	nearest_centroid_loo_acc_cosine_mean	nearest_centroid_loo_acc_cosine_weighted_mean	nearest_centroid_loo_acc_euclidean_mean	nearest_centroid_loo_acc_euclidean_weighted_mean	within_between_ratio_cosine_mean	within_between_ratio_cosine_weighted_mean	within_between_ratio_euclidean_mean	within_between_ratio_euclidean_weighted_mean	kmeans_ari_mean	kmeans_ari_weighted_mean	kmeans_ami_mean	kmeans_ami_weighted_mean
answerdotai_ModernBERT-base	delta	conditioned-cat-only	all	76	76	1862	24.5	1.381578947368421	0.4888952678476292	0.3597051921600446	0.33118324899852875	0.24141756306511325	0.9210679905081034	0.9010928961748634	0.9196090585676256	0.8989071038251366	0.2639175578692353	0.26383625185432374	0.5154613665322954	0.5169197531501666	0.6012274486750753	0.5345918857876588	0.6493231692710614	0.6186678407065153
answerdotai_ModernBERT-base	delta	conditioned-cat-only	pair_not_significant	14	14	25	1.7857142857142858	0.14285714285714285	0.8415012233841642	0.8415012233841642	0.5991998824961464	0.5991998824961464	1.0	1.0	1.0	1.0	0.16056527623995345	0.16056527623995348	0.40482118849001564	0.40482118849001564	1.0	1.0	1.0	1.0
answerdotai_ModernBERT-base	delta	conditioned-cat-only	pair_significant	62	62	1837	29.629032258064516	1.6612903225806452	0.4782102388919766	0.3530321169353338	0.3230615328319343	0.2364621292779798	0.9186761114325913	0.8997229916897507	0.9171729694333113	0.8975069252077562	0.2670494451913348	0.2652665977769605	0.5188140992002434	0.5184723648490607	0.5891434319682592	0.5281457900229449	0.6386965986429117	0.6133862318520347
answerdotai_ModernBERT-base	delta	conditioned-exclude	all	76	76	8568	112.73684210526316	2.8815789473684212	-0.05356136336850127	-0.0832840969245291	-0.01821376532442892	-0.03533030823132354	0.4909580253093176	0.45984230923426433	0.47680884760691195	0.44086596284912466	0.7878212730798028	0.8359492493861079	0.8599061954194673	0.8875570296794942	0.14164554994423703	0.09922037718062227	0.20652196973695244	0.16223552216708503
answerdotai_ModernBERT-base	delta	conditioned-exclude	pair_not_significant	14	14	2146	153.28571428571428	2.2857142857142856	-0.07364135947067739	-0.058412137620925494	-0.036881450226036755	-0.027866843443607833	0.34576502160476424	0.3529051987767584	0.3401419984034041	0.3474006116207951	0.9802962011831515	0.9886767641252635	0.9803703992203516	0.9854609985716203	0.03118107108638825	0.02413352601859884	0.04820169725029115	0.03785803011064946
answerdotai_ModernBERT-base	delta	conditioned-exclude	pair_significant	62	62	6422	103.58064516129032	3.0161290322580645	-0.05001783464458784	-0.0902378680362582	-0.014919467988851073	-0.03741696434074816	0.5165803200807094	0.4897400820793434	0.5009265268781192	0.46699726402188785	0.753855109296859	0.7932492687776059	0.8386478065134289	0.8601847675148865	0.16113928150738677	0.12021336651884189	0.2344608413522456	0.19700932509326013
answerdotai_ModernBERT-base	delta	form	all	76	76	14183	186.6184210526316	2.0	0.781251095342063	0.7817619532992466	0.5332609467723859	0.5339038978312639	1.0	1.0	1.0	1.0	0.2175583392100311	0.21704348769128565	0.4666028039295875	0.46594463552235565	1.0	1.0	1.0	1.0
answerdotai_ModernBERT-base	delta	form	pair_not_significant	14	14	2735	195.35714285714286	2.0	0.7869016862128505	0.7865283324820598	0.5399511089553104	0.5395772304561897	1.0	1.0	1.0	1.0	0.21194157251280762	0.21230070922027672	0.4600207211977261	0.46039596842150665	1.0	1.0	1.0	1.0
answerdotai_ModernBERT-base	delta	form	pair_significant	62	62	11448	184.6451612903226	2.0	0.7799751554680144	0.7806232350021645	0.531750264989145	0.5325485025893728	1.0	1.0	1.0	1.0	0.2188266413674686	0.21817656762823612	0.4680890806754916	0.46727024737777356	1.0	1.0	1.0	1.0
answerdotai_ModernBERT-base	delta	raw	all	76	76	14183	186.6184210526316	8.986842105263158	-0.3299644422115888	-0.33217287710707594	-0.18322678160668196	-0.18426461174933345	0.39400468930274657	0.3881023881023881	0.300469189871824	0.2950807950807951	0.8433514186896296	0.8454276900690586	0.8963520595393476	0.8972475634058892	0.08900384044866069	0.08888821259926072	0.1590009443042325	0.1587990790524659
answerdotai_ModernBERT-base	delta	raw	pair_not_significant	14	14	2735	195.35714285714286	6.714285714285714	-0.18856278034405335	-0.19218189594186463	-0.09822347280158575	-0.10039158356768592	0.3575588412146201	0.3538219070133964	0.3301448481724864	0.32584712371946417	0.9362327172895044	0.9352060587333941	0.9550376575197059	0.9544596621163401	0.048716377523172406	0.049712218208488416	0.08487340893366092	0.08642507692298208
answerdotai_ModernBERT-base	delta	raw	pair_significant	62	62	11448	184.6451612903226	9.5	-0.35961317776445917	-0.3632086134974765	-0.20105005603355697	-0.20285910384620812	0.4016465606760634	0.39570230607966456	0.29424687442168507	0.2882599580712788	0.8238763076928816	0.8255239951293237	0.8840470148015305	0.8845637490691384	0.09745121170723083	0.09757345663872438	0.17454381462386853	0.1748442587698515
bert_base_uncased	delta	conditioned-cat-only	all	76	76	1862	24.5	1.381578947368421	0.4369109163449756	0.3646368551671613	0.25414754543328744	0.2002171549718322	0.9437439928772307	0.9311475409836065	0.9354992487254689	0.9240437158469945	0.41375288107511254	0.41910883934636367	0.6497143989787993	0.661113940873762	0.4355727713478995	0.4665246832626211	0.5037706821144391	0.5650938744197725
