embedding_type_layer	layer	model	embedding_type	label_type	pair_significance_bucket	n_systems	n_rows	n_samples_eval_total	n_samples_eval_mean	n_labels_mean	silhouette_cosine_mean	silhouette_cosine_weighted_mean	silhouette_euclidean_mean	silhouette_euclidean_weighted_mean	nearest_centroid_loo_acc_cosine_mean	nearest_centroid_loo_acc_cosine_weighted_mean	nearest_centroid_loo_acc_euclidean_mean	nearest_centroid_loo_acc_euclidean_weighted_mean	within_between_ratio_cosine_mean	within_between_ratio_cosine_weighted_mean	within_between_ratio_euclidean_mean	within_between_ratio_euclidean_weighted_mean	kmeans_ari_mean	kmeans_ari_weighted_mean	kmeans_ami_mean	kmeans_ami_weighted_mean
orig	10	transfo-xl-wt103	orig	raw	pair_not_significant	13	13	2589	199.15384615384616	7.076923076923077	-0.0979883701268894	-0.09760893835942339	-0.05964520981069654	-0.05941913372865819	0.4533318528670287	0.4535953177257525	0.45541311354753566	0.45568561872909696	0.838624270616418	0.8386835752734395	0.9052216018073073	0.9052653562681251	0.049807270206943095	0.049766933313269486	0.07938084364053288	0.07929934106284735
orig	11	transfo-xl-wt103	orig	conditioned-cat-only	all	73	73	1807	24.753424657534246	2.911764705882353	0.3829939842798922	0.30456109976638635	0.25753452215212747	0.21040324291620982	0.8827657550223573	0.8337676056338028	0.8821747399629221	0.8343309859154929	0.3963262366244362	0.3403850568442473	0.6027842285184059	0.5601674339856828	0.36450053488465867	0.4140952587341391	0.41554615183730576	0.4982168023662669
orig	11	transfo-xl-wt103	orig	conditioned-cat-only	pair_significant	60	60	1782	29.7	2.9393939393939394	0.3935557279487952	0.3081179736124219	0.2648081152752462	0.212951101595935	0.8854356180875945	0.83425	0.884825538026242	0.8348214285714286	0.3792018826167354	0.332002254643977	0.5912197014251891	0.5544371892082194	0.37711883170889493	0.4203918576684365	0.43028853645802434	0.5059265819915703
orig	11	transfo-xl-wt103	orig	conditioned-cat-only	pair_not_significant	13	13	25	1.9230769230769231	2.0	0.055579930543899536	0.055579930543899536	0.032053135335445404	0.032053135335445404	0.8	0.8	0.8	0.8	0.9271812108631636	0.9271812108631636	0.9612845684081195	0.9612845684081195	-0.02666666666666667	-0.02666666666666667	-0.04146777140497051	-0.04146777140497051
orig	11	transfo-xl-wt103	orig	conditioned-exclude	all	73	73	8300	113.6986301369863	3.088235294117647	0.0024167637416996576	-0.02950641485020771	0.00907971424448047	-0.01034400132057503	0.5778353118472872	0.5570825962716016	0.5816275540400832	0.5614369301945843	0.7764975532823958	0.8054045713080774	0.8601398954591477	0.8776112025429634	0.12858114448338465	0.1073738649357821	0.19151757195287097	0.16731594972823235
orig	11	transfo-xl-wt103	orig	conditioned-exclude	pair_significant	60	60	6288	104.8	3.1403508771929824	0.003295421731012056	-0.038477996534591316	0.010977951158788435	-0.013590563795865821	0.5817349180636401	0.5539807524059492	0.5852819377499868	0.558005249343832	0.7528612928587661	0.7761761933418608	0.8436480456620147	0.8565452717708534	0.14031027591751152	0.12062792200189774	0.21259074853958557	0.195506423559068
orig	11	transfo-xl-wt103	orig	conditioned-exclude	pair_not_significant	13	13	2012	154.76923076923077	2.8181818181818183	-0.0023670408667789567	0.0018721587888695839	-0.0012551311778628991	0.0010110198215833972	0.5566041224471434	0.5679314565483476	0.5617314649528299	0.5734394124847001	0.9051838600332691	0.9076323436929784	0.9499288554657609	0.9512903912593701	0.06472254000869399	0.0610171108765098	0.07678583275853602	0.0687183010481677
orig	11	transfo-xl-wt103	orig	raw	all	73	73	13730	188.08219178082192	9.095890410958905	-0.23400153184775263	-0.23311722169028823	-0.13066863798626904	-0.13002802033982025	0.38879341775043247	0.3870538683218798	0.39026437921790336	0.38860563068055864	0.8158115670946968	0.817434902104714	0.8858897510687088	0.8870516072587975	0.07910998683319842	0.07827323700971953	0.14137255650022687	0.14027300671105303
orig	11	transfo-xl-wt103	orig	raw	pair_significant	60	60	11141	185.68333333333334	9.533333333333333	-0.26440320805025597	-0.26562964792484806	-0.14710222959207991	-0.14756950630274143	0.37102682762574785	0.367561260210035	0.37162404997883175	0.3681895700565479	0.8089148868531976	0.8103684071546513	0.8800840419758502	0.8810597384832038	0.08195281575349116	0.08114718980283245	0.15189636927125771	0.15134636400195356
orig	11	transfo-xl-wt103	orig	raw	pair_not_significant	13	13	2589	199.15384615384616	7.076923076923077	-0.08199315083523591	-0.08168706254345244	-0.04850067995721474	-0.04832664278425809	0.4776263683738558	0.4778428093645485	0.48346602541326167	0.483695652173913	0.8502949683021933	0.850347870431908	0.9149182965330017	0.9149593873712093	0.06489584223173472	0.06488748948962289	0.08875349264507253	0.08869764150289153
