system_id	lemma	msps	cond_bucket	n_tokens	optimal_k	best_silhouette	k_range	silhouettes	inertias	note
lay__pst	lay	pst	all	196	2	0.12461545048525055	2-10	0.124615,0.096831,0.092532,0.088703,0.085105,0.073550,0.072709,0.081855,0.053038	39959.487623,37675.885640,35512.707620,34104.473102,32978.604115,32333.367248,31716.085465,30991.671371,30819.869250	
lead__ppt	lead	ppt	all	198	2	0.15853663352894107	2-10	0.158537,0.145192,0.115946,0.103303,0.117476,0.114251,0.119907,0.078279,0.107941	46190.972143,41431.860026,38873.882957,37259.776897,35165.635321,34214.363344,32811.857588,32229.663732,31528.397539	
lead__pst	lead	pst	all	200	2	0.12428001706649322	2-10	0.124280,0.103592,0.085575,0.093236,0.089201,0.103146,0.101744,0.105608,0.104890	44920.077930,41843.798064,39358.851760,37788.650036,36400.880066,34910.027610,33615.269407,32412.110048,31724.082669	
leap__ppt	leap	ppt	all	199	2	0.10466130866222798	2-10	0.104661,0.084054,0.092796,0.088144,0.091430,0.080910,0.065255,0.073703,0.066050	27626.127612,25800.368483,24125.011021,22952.297278,22301.651474,21748.171108,21304.772815,20922.199540,20452.954291	
leap__pst	leap	pst	all	199	2	0.11830076652609452	2-10	0.118301,0.088358,0.081958,0.081828,0.074550,0.076736,0.061699,0.056133,0.049002	26308.877464,24605.620920,23383.926041,22836.604813,22016.010207,21526.291377,21338.783936,20670.771860,20643.231861	
learn__ppt	learn	ppt	all	198	2	0.1816902093928796	2-10	0.181690,0.148677,0.089374,0.079958,0.081810,0.082315,0.076084,0.080423,0.068787	21574.872530,20065.059486,19190.245603,18513.665947,17899.135358,17366.401463,16963.615913,16642.592311,16348.599930	
learn__pst	learn	pst	all	198	2	0.21406211427047342	2-10	0.214062,0.150686,0.157854,0.088043,0.086571,0.089122,0.081406,0.061544,0.061967	20484.097909,19228.037095,18227.123764,17500.433746,17100.388547,16712.887438,16448.826271,16076.603821,15846.194525	
light__ppt	light	ppt	all	200	2	0.21478084272131795	2-10	0.214781,0.178072,0.180488,0.094050,0.091189,0.077185,0.093665,0.079917,0.078229	35183.319883,33236.993419,31372.170699,29880.268959,29100.380003,28603.336302,27910.237355,27388.546383,26955.523062	
light__pst	light	pst	all	200	2	0.2312247426535982	2-10	0.231225,0.196820,0.186766,0.106509,0.090162,0.097230,0.096795,0.094551,0.097676	33812.456154,31123.251943,29802.034550,28450.557372,27377.428582,26408.110207,25784.711337,24973.511772,24451.569290	
plead__ppt	plead	ppt	all	199	2	0.2143115983008037	2-10	0.214312,0.197123,0.143420,0.127427,0.147595,0.130631,0.080540,0.095931,0.092171	34331.019947,31320.178767,28637.120992,27406.560322,26623.117778,25569.891579,24931.134417,24254.198890,23418.107561	
plead__pst	plead	pst	all	199	2	0.21020384019148816	2-10	0.210204,0.191378,0.146026,0.123485,0.097250,0.078350,0.075730,0.071685,0.059693	33398.103964,30001.860352,27518.984011,26614.466636,25748.706005,25134.359631,24610.299882,24088.673951,23617.324066	
prove__ppt	prove	ppt	all	199	2	0.2149869191112277	2-10	0.214987,0.195523,0.184990,0.094351,0.085369,0.076335,0.081500,0.075233,0.071391	38075.571078,35173.982166,33822.163060,32473.178353,31417.577163,30727.105733,29782.619676,29410.770451,28926.639072	
ring__ppt	ring	ppt	all	200	2	0.2957282194320021	2-10	0.295728,0.210161,0.095779,0.092245,0.077567,0.077177,0.085874,0.069069,0.075517	27699.472296,25994.935663,24866.518311,23768.185016,23100.644147,22442.313884,22030.865418,21562.735293,21423.195071	
see__ppt	see	ppt	all	199	2	0.1317373320519254	2-10	0.131737,0.093244,0.110023,0.090636,0.068003,0.067718,0.085136,0.061785,0.055445	40181.577123,37649.933133,35206.788883,33942.753998,33355.340188,32503.356340,32003.312052,31376.439450,30764.248435	
see__pst	see	pst	all	198	2	0.18029306540525109	2-10	0.180293,0.150084,0.108876,0.110411,0.105534,0.105694,0.087375,0.071405,0.049128	36859.291515,34271.182271,32263.716295,30816.209418,29831.165432,29284.801971,28714.736343,28201.078112,27841.343343	
sew__ppt	sew	ppt	all	199	2	0.132938077483756	2-10	0.132938,0.097024,0.071177,0.062257,0.066415,0.068712,0.061303,0.051164,0.057597	29047.222455,27637.725474,26442.586511,25708.619640,24954.681124,24356.554708,23974.463643,23391.065155,22961.698936	
shake__ppt	shake	ppt	all	199	2	0.13580021306664608	2-10	0.135800,0.108034,0.090912,0.092358,0.096759,0.090717,0.088008,0.068433,0.062907	29439.393899,27441.365613,26191.291493,25182.625229,24299.165242,23497.181380,22903.566209,22379.036350,22170.073421	
shine__pst	shine	pst	all	200	2	0.1375320573224501	2-10	0.137532,0.133929,0.116421,0.120542,0.103850,0.093321,0.065638,0.086174,0.054914	29836.214586,27283.268389,25895.664779,24928.917150,24074.121419,23656.130153,23137.202714,22907.358103,22325.475693	
show__ppt	show	ppt	all	200	2	0.16914791376707577	2-10	0.169148,0.157270,0.094172,0.097960,0.074932,0.076190,0.076935,0.079818,0.067938	37984.182229,36037.213727,34613.319858,33094.901922,32057.871487,31208.658063,30537.141579,29943.620355,29410.750139	
sink__pst	sink	pst	all	196	2	0.11006213949539097	2-10	0.110062,0.097770,0.089164,0.061438,0.046170,0.049269,0.051498,0.059144,0.057441	28133.299269,26880.863462,25815.699881,25272.694782,24541.359982,24060.529117,23442.541241,22896.325577,22368.923067	
slink__pst	slink	pst	all	144	2	0.19494032596675137	2-10	0.194940,0.157704,0.092826,0.082961,0.056799,0.046870,0.039128,0.043617,0.041660	13223.556852,12322.689517,11685.444112,11453.768069,11186.799466,10962.108748,10764.602575,10602.682681,10430.835581	
smelt__pst	smelt	pst	all	199	2	0.12746615841616107	2-10	0.127466,0.103436,0.100863,0.091528,0.089471,0.087448,0.079662,0.074823,0.087960	28778.844142,26162.961944,24508.293230,23479.533931,22684.199490,22104.809010,21614.685010,21118.402759,20760.348125	
sneak__ppt	sneak	ppt	all	200	2	0.31581065489296833	2-10	0.315811,0.227344,0.090136,0.062942,0.055000,0.057393,0.052009,0.041285,0.041237	20917.476580,19903.092748,19085.159377,18606.833494,18200.821054,17888.359523,17557.407162,17321.157995,17079.816737	
sneak__pst	sneak	pst	all	200	2	0.2930858370697808	2-10	0.293086,0.174967,0.086116,0.079578,0.083880,0.058512,0.066434,0.044475,0.049208	21199.260722,19973.307429,19176.231780,18682.098005,18089.408781,17888.805883,17665.142980,17349.308284,17040.911486	
speak__ppt	speak	ppt	all	199	2	0.28915887037126686	2-10	0.289159,0.249833,0.212876,0.217086,0.068863,0.068998,0.066081,0.071140,0.064879	35181.626672,33376.574971,32331.150570,31257.316629,30183.674623,29346.054945,28942.090660,28322.370216,27520.057892	
speak__pst	speak	pst	all	196	2	0.2638095075723496	2-10	0.263810,0.149160,0.092631,0.065954,0.051167,0.054225,0.060918,0.044770,0.043885	25868.723145,24492.954933,23712.659331,23108.593738,22591.928542,22080.482422,21552.523299,21529.565069,21067.789214	
speed__ppt	speed	ppt	all	200	2	0.1425472164917573	2-10	0.142547,0.128599,0.128442,0.109008,0.091906,0.091039,0.081647,0.074051,0.073501	29959.887024,27240.721897,25442.192347,24609.842793,23905.209075,23367.473177,22741.037099,22366.655099,22009.004403	
