model	cache_path	embedding_type	system_id	lemma	msps	n_tokens_total_system	n_tokens_with_conditioning	n_tokens_unmatched_conditioning	n_tokens_unexpected_form	n_meanings_total_system	n_meanings_with_conditioning	n_forms_observed_system	observed_forms	expected_form_1	expected_form_2	pair_p_value	pair_test_type	pair_significant	pair_attested_meanings	cond_no_cond_count_expected	cond_prob_count_expected	cond_cat_count_expected	cond_no_cond_count_matched	cond_prob_count_matched	cond_cat_count_matched	system_notes	layer	label_type	label_column	n_samples_eval	n_labels	label_entropy	label_max_count	label_min_count	label_singleton_fraction	label_sparse_fraction	silhouette_cosine	silhouette_euclidean	within_cosine	between_cosine	within_between_ratio_cosine	within_euclidean	between_euclidean	within_between_ratio_euclidean	nearest_centroid_loo_acc_cosine	nearest_centroid_loo_acc_euclidean	kmeans_ari	kmeans_ami	kmeans_pca_components_used
bert_base_uncased	head_embed_cache_bert_base_uncased.jsonl	orig	break__ppt	break	ppt	199	126	73	0	28	6	2	broke,broken	broke	broken	0.2008	fisher_exact	False	28	4	1	1	4	1	1		0	conditioned-cat-only	cat_only_label	25	2.0	0.7219280948873623	20.0	5.0	0.0	0.0	-0.02311141909497759	-0.001287523502224553	0.4468553804569953	0.4403733826133789	1.0147193225102509	3.5782882997693224	3.6011014551608262	0.9936649506614679	0.56	0.6	0.04	-0.005163243719313518	0.0
bert_base_uncased	head_embed_cache_bert_base_uncased.jsonl	orig	bring__pst	bring	pst	193	193	0	0	4	4	2	brought,brung	brought	brung	0.0	chi_sq	True	4	1	2	1	1	2	1		0	raw	raw_label	193	4.0	1.877444466874	67.0	19.0	0.0	0.0	0.028039388277025276	0.021215852009689316	0.4805119524626635	0.5710013322140776	0.8415250987234332	3.75161413751063	4.180241293816829	0.8974635371072479	0.5440414507772021	0.5492227979274611	0.21721935210741938	0.2170516244174724	0.0
bert_base_uncased	head_embed_cache_bert_base_uncased.jsonl	orig	bring__pst	bring	pst	193	193	0	0	4	4	2	brought,brung	brought	brung	0.0	chi_sq	True	4	1	2	1	1	2	1		0	conditioned-exclude	conditioned_exclude_label	80	3.0	0.9403047812186183	61.0	3.0	0.0	0.0	-0.09744374466804313	-0.03906435689562793	0.5261722962113995	0.6069932395160276	0.8668503402623251	3.873286501581846	4.369328079784055	0.8864718855749727	0.5625	0.6	-0.008939582083190576	0.17402946694413585	0.0
bert_base_uncased	head_embed_cache_bert_base_uncased.jsonl	orig	bring__pst	bring	pst	193	193	0	0	4	4	2	brought,brung	brought	brung	0.0	chi_sq	True	4	1	2	1	1	2	1		0	conditioned-cat-only	cat_only_label	19	2.0	0.6292492238560345	16.0	3.0	0.0	0.0	0.2680243756719681	0.1266816834923595	0.4769980748519478	0.6268281884603567	0.7609710023149592	4.051996742175812	4.50953332508761	0.8985401481864181	1.0	1.0	0.29280397022332505	0.2930187984160041	0.0
bert_base_uncased	head_embed_cache_bert_base_uncased.jsonl	orig	burn__ppt	burn	ppt	199	152	47	0	15	4	2	burned,burnt	burned	burnt	0.0028	fisher_exact	True	15	3	1	0	3	1	0		0	raw	raw_label	199	15.0	2.8386901946024508	85.0	1.0	0.13333333333333333	0.13333333333333333	-0.05214942006958121	-0.027570817670506495	0.36540450596805374	0.43514563344876944	0.8397292259881393	3.2444968582771105	3.530562147351728	0.9189745776634481	0.6633165829145728	0.678391959798995	0.13395986065929116	0.31250102113301526	0.0
bert_base_uncased	head_embed_cache_bert_base_uncased.jsonl	orig	burn__ppt	burn	ppt	199	152	47	0	15	4	2	burned,burnt	burned	burnt	0.0028	fisher_exact	True	15	3	1	0	3	1	0		0	conditioned-exclude	conditioned_exclude_label	131	3.0	1.262392868407983	85.0	16.0	0.0	0.0	0.06857460007302824	0.0370437343559393	0.36960803330860886	0.4246056155725246	0.8704737284509091	3.2680138122353544	3.4856733732600227	0.9375559503955762	0.8549618320610687	0.8549618320610687	0.32010585255804774	0.3655860645356596	0.0
bert_base_uncased	head_embed_cache_bert_base_uncased.jsonl	orig	burn__ppt	burn	ppt	199	152	47	0	15	4	2	burned,burnt	burned	burnt	0.0028	fisher_exact	True	15	3	1	0	3	1	0		0	conditioned-cat-only	cat_only_label	0																			
bert_base_uncased	head_embed_cache_bert_base_uncased.jsonl	orig	burn__pst	burn	pst	198	130	68	0	20	3	2	burned,burnt	burned	burnt	0.0	fisher_exact	True	21	2	0	1	2	0	1		0	raw	raw_label	198	20.0	3.042396475146948	89.0	1.0	0.05	0.4	-0.042575103007668265	-0.03692252601980088	0.39106508410730556	0.4647228588936099	0.8415017179020088	3.3121596119278895	3.6561866099870217	0.9059055144725358	0.51010101010101	0.5454545454545454	0.07711971950192616	0.20180028599517122	0.0
bert_base_uncased	head_embed_cache_bert_base_uncased.jsonl	orig	burn__pst	burn	pst	198	130	68	0	20	3	2	burned,burnt	burned	burnt	0.0	fisher_exact	True	21	2	0	1	2	0	1		0	conditioned-exclude	conditioned_exclude_label	130	4.0	1.3101187762447488	89.0	3.0	0.0	0.0	0.01631981716521942	0.024387118436972544	0.39148920157210104	0.41548702748528293	0.9422416963089614	3.310044737769819	3.51198119973042	0.9425006996119166	0.7230769230769231	0.7538461538461538	0.0601276625123036	0.16140671023700792	0.0
bert_base_uncased	head_embed_cache_bert_base_uncased.jsonl	orig	burn__pst	burn	pst	198	130	68	0	20	3	2	burned,burnt	burned	burnt	0.0	fisher_exact	True	21	2	0	1	2	0	1		0	conditioned-cat-only	cat_only_label	23	2.0	0.5586293734521992	20.0	3.0	0.0	0.0	0.12305823642620636	0.10862466704745823	0.3489679494018628	0.4126427347527295	0.8456902788097725	3.1342195139723907	3.6240217012748035	0.8648456803859321	0.782608695652174	0.782608695652174	0.1419736667109988	0.03058256480655912	0.0
