embedding_type_layer	layer	model	embedding_type	label_type	pair_significance_bucket	n_systems	n_rows	n_samples_eval_total	n_samples_eval_mean	n_labels_mean	silhouette_cosine_mean	silhouette_cosine_weighted_mean	silhouette_euclidean_mean	silhouette_euclidean_weighted_mean	nearest_centroid_loo_acc_cosine_mean	nearest_centroid_loo_acc_cosine_weighted_mean	nearest_centroid_loo_acc_euclidean_mean	nearest_centroid_loo_acc_euclidean_weighted_mean	within_between_ratio_cosine_mean	within_between_ratio_cosine_weighted_mean	within_between_ratio_euclidean_mean	within_between_ratio_euclidean_weighted_mean	kmeans_ari_mean	kmeans_ari_weighted_mean	kmeans_ami_mean	kmeans_ami_weighted_mean
orig	9	kanishka_GlossBERT	orig	raw	pair_not_significant	14	14	2735	195.35714285714286	6.714285714285714	0.07768029433030349	0.07803278290971209	0.042904827636308394	0.043302666124175146	0.7727711205600654	0.7730496453900709	0.7727749860413176	0.7730496453900709	0.7893658284856433	0.7864243441285348	0.8836246516279094	0.8817630894855593	0.18430172118317073	0.188392724635484	0.2650673688464876	0.270588022054654
orig	10	kanishka_GlossBERT	orig	conditioned-cat-only	all	76	76	1862	24.5	2.9166666666666665	0.22215662869241307	0.240162709850024	0.12604977256234953	0.1383583168168374	0.899653221357066	0.9103194619588062	0.901090510168993	0.9097730138713744	0.6721710606868366	0.5923905922852677	0.8109465994824632	0.7557730948241502	0.31819530196528045	0.4034852006099447	0.364254427031317	0.48112032684160644
orig	10	kanishka_GlossBERT	orig	conditioned-cat-only	pair_significant	62	62	1837	29.629032258064516	2.942857142857143	0.227014410732822	0.2426324174468537	0.1293279645456509	0.14002713786536142	0.9063093795800076	0.913509482207543	0.9077902225983564	0.9129554655870444	0.6651837578250753	0.5880919570658814	0.8060706803408886	0.7527803131575259	0.328645664651097	0.4094429827051886	0.3765490391051438	0.48835838914419066
orig	10	kanishka_GlossBERT	orig	conditioned-cat-only	pair_not_significant	14	14	25	1.7857142857142858	2.0	0.061849821358919144	0.061849821358919144	0.017869437113404274	0.017869437113404274	0.68	0.68	0.68	0.68	0.9027520551249586	0.9027520551249586	0.9718519311544226	0.9718519311544226	-0.02666666666666667	-0.02666666666666667	-0.04146777140497051	-0.04146777140497051
orig	10	kanishka_GlossBERT	orig	conditioned-exclude	all	76	76	8568	112.73684210526316	3.084507042253521	0.1501796872743095	0.1466982829723406	0.08598670561720306	0.0833740854079132	0.8209445108937291	0.8257383402378725	0.8223946469656184	0.8269410664172123	0.7439995054515397	0.7519312213296933	0.8510752036064768	0.8561457388611428	0.2613479533981033	0.24979943249652617	0.32261316839028537	0.309806608030836
orig	10	kanishka_GlossBERT	orig	conditioned-exclude	pair_significant	62	62	6422	103.58064516129032	3.169491525423729	0.15232107643147602	0.1481878869022114	0.08752741101745735	0.0846685284269157	0.8182500876891279	0.8209644322845417	0.819979014482577	0.8226744186046512	0.7358659766509024	0.7403435010010397	0.8453697858377779	0.8479940812415647	0.2603059735595247	0.24664765327801474	0.32694237989969127	0.31654873355405105
orig	10	kanishka_GlossBERT	orig	conditioned-exclude	pair_not_significant	14	14	2146	153.28571428571428	2.6666666666666665	0.13804514871703255	0.14137032958892506	0.07725604168242878	0.07874417545370735	0.8362129090531348	0.8428134556574923	0.8360832310361855	0.8422018348623853	0.790089501988485	0.7933776974654521	0.8834059042957709	0.8853022488056641	0.2672525058167152	0.2610725853221254	0.29808096983698473	0.2856916538658442
orig	10	kanishka_GlossBERT	orig	raw	all	76	76	14183	186.6184210526316	8.986842105263158	0.04775232330275079	0.04704434566869205	0.02767696278751828	0.027226887813692254	0.7338245063414424	0.7350922350922351	0.7339732469819488	0.7352352352352353	0.7414663149686563	0.7421990238175326	0.85272675166297	0.8530445457492972	0.238971336648697	0.23913206864293046	0.3404939312106505	0.34127232988509887
orig	10	kanishka_GlossBERT	orig	raw	pair_significant	62	62	11448	184.6451612903226	9.5	0.04245499816287549	0.0411401325115385	0.024781664059358468	0.023952131188628618	0.7241321465239663	0.7253668763102725	0.7244729597886411	0.7257162823200559	0.7296291437670402	0.7305655590239282	0.8454349016111234	0.8458408793821389	0.2379946383484582	0.23693276544712566	0.35223828594180545	0.35249111102922254
orig	10	kanishka_GlossBERT	orig	raw	pair_not_significant	14	14	2735	195.35714285714286	6.714285714285714	0.07301648935446373	0.0736761156541506	0.04148531056797275	0.04199813046291547	0.7800496070094062	0.7789598108747045	0.7792823089808014	0.7781717888100866	0.7979205160840558	0.7946733756525136	0.8875032672948537	0.8855376791500965	0.24362943623445127	0.24905232986656042	0.28448239326206515	0.2906684660009663
