"lemma","form_1","form_1_freq","form_2","form_2_freq","msps","chisq_eq","p_eq","p_cat","cond_type","def"
"spell","spelt",18,"spelled",2,"ppt",12.8,"0.0003","0.4872","cat","To name the letters of in order. To write or print the letters of in order."
"spell","spelt",39,"spelled",21,"ppt",5.4,"0.0201","0.0000","prob","To write or print the letters of in a particular way. "
"spell","spelt",14,"spelled",43,"ppt",14.7543859649123,"0.0001","0.0000","prob","To find out by study. To come to understand. Often used with 'out'. ""It requires some pains to spell out those decorations.""  (I used as 'to explain', kind of)"
"bid","bidden",1,"bid",41,"ppt",38.0952380952381,"0.0000","1.0000","cat","To offer (a price) whether for payment or acceptance. ""The contractor bid $10,000 less than his nearest competitor."""
"bid","bidden",57,"bid",25,"ppt",12.4878048780488,"0.0004","0.0000","prob","To issue an order to. To tell. ""did as I was bid"""
"bid","bidden",17,"bid",0,"ppt",17,"0.0000","1.0000","cat","To request to come. To invite. ""were bidden to the wedding"""
"bid","bidden",10,"bid",10,"ppt",0,"1.0000","0.0004","no_cond","To give expression to. ""bade a tearful farewell"""
"tread","trod",16,"trodden",3,"ppt",8.89473684210526,"0.0029","0.2297","cat","To move or proceed on or as if on foot. ""must tread lightly"""
"tread","trod",27,"trodden",19,"ppt",1.39130434782609,"0.2382","0.0000","no_cond","To step or walk on or over. (I used as ""to travel"")"
"tread","trod",24,"trodden",14,"ppt",2.63157894736842,"0.1048","0.0000","no_cond","To walk or proceed along. To follow. ""treading a fine line between tradition and innovation"""
"tread","trod",23,"trodden",52,"ppt",11.2133333333333,"0.0008","0.0000","prob","To beat or press with the feet. To trample. "
"kneel","kneeled",40,"knelt",50,"pst",1.11111111111111,"0.2918","0.0000","no_cond","To position the body so that one or both knees rest on the floor. ""The prisoners were ordered to kneel."""
"kneel","kneeled",60,"knelt",50,"pst",0.909090909090909,"0.3404","0.0000","no_cond","To fall or rest on the knees. ""She kneeled on the floor next to the child."""
"break","broke",9,"broken",8,"ppt",0.0588235294117647,"0.8084","0.0027","no_cond","To end a relationship, connection, or agreement; usually used with with or from. ""break with tradition"" ""broke with the leadership"""
"break","broke",19,"broken",7,"ppt",5.53846153846154,"0.0186","0.0098","prob","To become inoperative because of damage, wear, or strain. ""The pump broke."""
"break","broke",9,"broken",14,"ppt",1.08695652173913,"0.2971","0.0015","no_cond","To separate into parts with suddenness or violence. ""broke the plate"" ""Break the chocolate bar in half."""
"break","broke",5,"broken",20,"ppt",9,"0.0027","0.0502","cat","To violate. To transgress. ""break the law"" ""break a promise"" ""breaking conventions"""
"break","broke",7,"broken",13,"ppt",1.8,"0.1797","0.0083","no_cond","To split into smaller units, parts, or processes. To divide. ""break the grammar lesson into digestible chunks."" ""break a word at the end of a line"""
"break","broke",9,"broken",6,"ppt",0.6,"0.4386","0.0169","no_cond","To exceed. To surpass. ""break the record"""
"spit","spit",64,"spat",66,"ppt",0.0307692307692308,"0.8608","0.0000","no_cond","To eject saliva as an expression of aversion or contempt. "
"spit","spit",12,"spat",10,"ppt",0.181818181818182,"0.6698","0.0005","no_cond","To eject (something) from the mouth. To expectorate. "
"spit","spit",18,"spat",20,"ppt",0.105263157894737,"0.7456","0.0000","no_cond","To emit as if by spitting. Especially to emit (precipitation) in driving particles or in flurries. ""spit rain"""
"drive","drove",27,"driven",4,"ppt",17.0645161290323,"0.0000","0.1128","cat","To operate a vehicle. ""learned to drive at the age of seventeen"""
"drive","drove",12,"driven",3,"ppt",5.4,"0.0201","0.2241","cat","To operate the mechanism and controls and direct the course of (a vehicle). ""drive a car"""
"drive","drove",0,"driven",24,"ppt",24,"0.0000","1.0000","cat","To exert inescapable or coescive pressure on. To force. ""driven by his passions"""
"drive","drove",0,"driven",25,"ppt",25,"0.0000","1.0000","cat","To give shape or impulse to. ""factors that drive the business cycle"" ""the ideas that have driven history"""
"begin","began",16,"begun",20,"ppt",0.444444444444444,"0.5050","0.0000","no_cond","To do the first part of an action. To go into the first part of a process. To start. ""Began by introducing herself"" ""will have to begin again"""
"begin","began",76,"begun",64,"ppt",1.02857142857143,"0.3105","0.0000","no_cond","To set about the activity of. To start. ""They began the lecture at 10:00."" ""have already begun construction"""
"begin","began",8,"begun",14,"ppt",1.63636363636364,"0.2008","0.0036","no_cond","To bring into being. To found. ""credited with beginning the movement"" ""In 1819, he married the daughter of É chief and began a dynasty that would last for nearly 200 years."""
"spit","spit",32,"spat",19,"pst",3.31372549019608,"0.0687","0.0000","no_cond","To eject saliva as an expression of aversion or contempt. "
"spit","spit",22,"spat",11,"pst",3.66666666666667,"0.0555","0.0004","no_cond","To eject matter (such as salive) from the mouth. To expectorate. "
"spit","spit",31,"spat",13,"pst",7.36363636363636,"0.0067","0.0001","prob","To express (unpleasant or malicious feelings) by or as if by spitting. "
"spit","spit",12,"spat",34,"pst",10.5217391304348,"0.0012","0.0002","prob","To emit as if by spitting. Especially to emit (precipitation) in driving particles or in flurries. ""spit rain"""
"spit","spit",3,"spat",22,"pst",14.44,"0.0001","0.2347","cat","To set to burning. ""spit a fuse"""
"wake","woke",45,"woken",33,"ppt",1.84615384615385,"0.1742","0.0000","no_cond","To awake. To wake up. ""They woke early."" "
"wake","woke",8,"woken",21,"ppt",5.82758620689655,"0.0158","0.0045","prob","Intransitive 4c. "
"wake","woke",42,"woken",33,"ppt",1.08,"0.2987","0.0000","no_cond","To rouse from or as if from sleep. To awake. To wake up. ""Something woke her in the middle of the night."""
"eat","ate",22,"eaten",8,"ppt",6.53333333333333,"0.0106","0.0046","prob","To take food or a meal. "
"eat","ate",61,"eaten",81,"ppt",2.8169014084507,"0.0933","0.0000","no_cond","To take in through the mouth as food. To ingest, chew, and swallow in turn. "
"take","took",15,"taken",6,"ppt",3.85714285714286,"0.0495","0.0207","prob","Phrases: take care, take charge, take effect, take five, take hold, take part, take place, take turns, take control, take notice, take for granted, take a toll, take off, take aback"
"take","took",15,"taken",6,"ppt",3.85714285714286,"0.0495","0.0207","prob","To get into one's hands or into one's possession, power or control. To seize or capture physically. ""took them as prisoners"" To get possession of (fish or game) by killing or capturing. To acquire by eminent domain. "
"take","took",9,"taken",10,"ppt",0.0526315789473684,"0.8185","0.0011","no_cond","To use up (space, time, etc.) ""takes a long time to dry"""
"take","took",8,"taken",9,"ppt",0.0588235294117647,"0.8084","0.0027","no_cond","To remove. ""take eggs from a nest"" To put an end to (life). To remove by death. ""was taken in his prime"" To subtract. ""take two from four"" To exact. ""The weather took its toll."""
"take","took",9,"taken",26,"ppt",8.25714285714286,"0.0041","0.0022","prob","To undertake and make, do, or perform. ""take a walk"" ""take aim"" ""take legal action"" ""take a test"" ""take a look"" To participate in. ""take a meeting"""
"take","took",12,"taken",15,"ppt",0.333333333333333,"0.5637","0.0001","no_cond","Phrases: take a back seat, take advantage of, take after, take a hike/walk, take care of, take charge of, take for, take into account, take in vain, take no prisoners, take the floor, take to court, take to task, take a chance, take notice of, take pity on, take as, take by surprise, take in, take the trouble to, take over, take down"
"write","wrote",70,"written",75,"ppt",0.172413793103448,"0.6780","0.0000","no_cond","To be the author of. To compose. ""writes poems and essays"" To compose in musical form. ""write a string quartet"""
"write","wrote",21,"written",7,"ppt",7,"0.0082","0.0102","prob","To make a permanent impression of. "
"fall","fell",40,"fallen",11,"ppt",16.4901960784314,"0.0000","0.0005","prob","To descend freely by the force of gravity. ""The apple fell from the tree."" "
"fall","fell",4,"fallen",30,"ppt",19.8823529411765,"0.0000","0.1139","cat","To decline in quality, activity, or quantity. ""Production fell off."""
"fall","fell",30,"fallen",5,"ppt",17.8571428571429,"0.0000","0.0536","cat","To pass suddenly and passively into a state or body of mind or a new state or condition. ""fall asleep"" / ""fall in love"""
"fall","fell",10,"fallen",21,"ppt",3.90322580645161,"0.0482","0.0008","prob","Phrases: fall apart, fall behind, fall between two stools, fall flat, fall for, fall from grace, fall home, fall into line, fall on, fall on one's face, fall on one's sword, fall short"
