aggregation	silhouette	davies_bouldin	calinski_harabasz	dunn	intra_inter_ratio	centroid_separation	nearest_centroid_loo_acc	total_samples	distance	model	head_indices	embedding_source
macro	-0.35722056770054894	6.067955173228501	7.647501179673191	0.05585326822268592	0.8590449051873521	1.0258815232146543	0.3623968299805911		cosine	answerdotai_ModernBERT-base	4	head
micro	-0.36443063682413657	6.64630989464302	8.577260418852239	0.05406953335057604	0.8649458404058493	1.0264646079607844	0.34756184756184755	14183.0	cosine	answerdotai_ModernBERT-base	4	head
macro	-0.2009404749442922	6.067955173228501	7.647501179673191	0.17957584768459414	0.9033243703687356	3.024128238345978	0.28464483507287724		euclidean	answerdotai_ModernBERT-base	4	head
micro	-0.20353452514170373	6.64630989464302	8.577260418852239	0.17385971582143173	0.9058497399527466	2.9892988477425155	0.2694837694837695	14183.0	euclidean	answerdotai_ModernBERT-base	4	head
macro	-0.3635126747453319	6.208551136551544	6.838154579350488	0.03973060360434873	0.8647879695080731	1.0332438960006445	0.342131427998848		cosine	answerdotai_ModernBERT-base	1	head
micro	-0.36763921064153154	6.819650774842802	7.643819329568587	0.03738492081480303	0.8721099701236347	1.0310435021139635	0.33004433004433004	14183.0	cosine	answerdotai_ModernBERT-base	1	head
macro	-0.21023382424346332	6.208551136551544	6.838154579350488	0.12190166190107495	0.9037086180047005	3.315926912453793	0.2709003209912549		euclidean	answerdotai_ModernBERT-base	1	head
micro	-0.21105616203878336	6.819650774842802	7.643819329568587	0.11687522391925961	0.9067046489216635	3.2789538281361996	0.2518232518232518	14183.0	euclidean	answerdotai_ModernBERT-base	1	head
macro	-0.34935675171247443	6.059745137708999	6.995946620634801	0.05966107959393244	0.8648258188619192	1.026102872398693	0.37027214735778424		cosine	answerdotai_ModernBERT-base	6	head
micro	-0.3558351961726913	6.625733798911997	7.906541909910604	0.058055747375665906	0.8717794057200541	1.0263588333935902	0.3562848562848563	14183.0	cosine	answerdotai_ModernBERT-base	6	head
macro	-0.19499811573548553	6.059745137708999	6.995946620634801	0.1852958489527154	0.9064460171026789	2.817886440799219	0.29571593150114556		euclidean	answerdotai_ModernBERT-base	6	head
micro	-0.19725689841125152	6.625733798911997	7.906541909910604	0.17953724999023282	0.9090255179281403	2.7715289751232937	0.2794937794937795	14183.0	euclidean	answerdotai_ModernBERT-base	6	head
macro	-0.36449917186647546	6.093894957741602	7.415017019649126	0.05702752034011378	0.85907953739145	1.0289066075424238	0.36554555194239957		cosine	answerdotai_ModernBERT-base	7	head
micro	-0.3690786931323715	6.6971751918614615	8.346726197747863	0.05518720000405003	0.8657290334446562	1.0283977719468118	0.3507793507793508	14183.0	cosine	answerdotai_ModernBERT-base	7	head
macro	-0.20471779262249068	6.093894957741602	7.415017019649126	0.18206170026220964	0.9035382545970507	3.032362038693464	0.2861664956188327		euclidean	answerdotai_ModernBERT-base	7	head
micro	-0.20595848212813161	6.6971751918614615	8.346726197747863	0.17517481156927958	0.9064623697211057	2.9787711710160396	0.2724867724867725	14183.0	euclidean	answerdotai_ModernBERT-base	7	head
macro	-0.3579425548915156	6.035171143019523	7.324789316327111	0.05526549309231464	0.8592266075235806	1.0279578381872325	0.36600809402480944		cosine	answerdotai_ModernBERT-base	2	head
micro	-0.36221728790412966	6.624848588264421	8.246440494894893	0.05352537835296863	0.865847461328725	1.028272289093606	0.3534963534963535	14183.0	cosine	answerdotai_ModernBERT-base	2	head
macro	-0.20329174310383832	6.035171143019523	7.324789316327111	0.1758150263806752	0.9030419695012838	3.0352816217244007	0.28959193473029415		euclidean	answerdotai_ModernBERT-base	2	head
micro	-0.20485283363373732	6.624848588264421	8.246440494894893	0.16915547329838532	0.9066061694677305	2.985566357144184	0.27377377377377377	14183.0	euclidean	answerdotai_ModernBERT-base	2	head
macro	-0.3433011810130801	6.076585025639114	7.197140208858215	0.05790509165830398	0.862221797608131	1.0238879839869774	0.3704155072356071		cosine	answerdotai_ModernBERT-base	3	head
micro	-0.3472126991467366	6.686256792989247	7.963331745189058	0.057166150090754334	0.8696351534753958	1.0245941128115938	0.3584298584298584	14183.0	cosine	answerdotai_ModernBERT-base	3	head
macro	-0.19141049206531813	6.076585025639114	7.197140208858215	0.180915851468012	0.905709686421511	2.893793543761508	0.29707414101377444		euclidean	answerdotai_ModernBERT-base	3	head
micro	-0.19348369566960077	6.686256792989247	7.963331745189058	0.17524558144757107	0.9100770123287673	2.8301809575589565	0.2827827827827828	14183.0	euclidean	answerdotai_ModernBERT-base	3	head
macro	-0.3535643834810153	5.954669507208916	6.954158978531831	0.05475605655643996	0.8627893417106135	1.0317532708267583	0.3679835024927928		cosine	answerdotai_ModernBERT-base	0	head
micro	-0.35810377439613683	6.527444554432888	7.803172721689884	0.05304763162558173	0.8703623493123719	1.029459890921698	0.35514085514085514	14183.0	cosine	answerdotai_ModernBERT-base	0	head
macro	-0.2001691762434808	5.954669507208916	6.954158978531831	0.1775716674633065	0.9074295631637166	2.881144423657515	0.2913723682342089		euclidean	answerdotai_ModernBERT-base	0	head
micro	-0.20137932195191305	6.527444554432888	7.803172721689884	0.1706624164876487	0.9106953716481878	2.826620765816545	0.27892177892177894	14183.0	euclidean	answerdotai_ModernBERT-base	0	head
macro	-0.3615959586004755	6.11461658552492	7.287085255650431	0.056045239463861765	0.8566944780564955	1.0357692317919818	0.3705409924812245		cosine	answerdotai_ModernBERT-base	5	head
micro	-0.3674498278072054	6.724913909922586	8.245495179920077	0.05392997577022754	0.8617751275734964	1.033888845455896	0.35478335478335477	14183.0	cosine	answerdotai_ModernBERT-base	5	head
macro	-0.20661233014562427	6.11461658552492	7.287085255650431	0.18170772388217976	0.9035017072258877	2.998799170534354	0.28815156845784		euclidean	answerdotai_ModernBERT-base	5	head
micro	-0.20850928219392528	6.724913909922586	8.245495179920077	0.1748358843594251	0.9054827668340248	2.947242119209784	0.2709137709137709	14183.0	euclidean	answerdotai_ModernBERT-base	5	head
macro	-0.3512474061120155	6.066570111159633	7.409229915559781	0.059186442920678234	0.8596661151767547	1.032637496641813	0.37261766650137135		cosine	answerdotai_ModernBERT-base	9	head
micro	-0.3561447147757335	6.672817308442193	8.275160071904894	0.05733946606583437	0.866346512199308	1.0318819868652116	0.3605748605748606	14183.0	cosine	answerdotai_ModernBERT-base	9	head
macro	-0.19392738799092657	6.066570111159633	7.409229915559781	0.1862395323398847	0.9010756996702569	2.9016265292496644	0.2891535426873732		euclidean	answerdotai_ModernBERT-base	9	head
micro	-0.19573286661168274	6.672817308442193	8.275160071904894	0.17965951157589016	0.9045322418689431	2.852654450621556	0.2744887744887745	14183.0	euclidean	answerdotai_ModernBERT-base	9	head
macro	-0.34517508946009057	6.048163017520635	6.949294790159268	0.05854610282971594	0.8647759029558922	1.0325250914874071	0.3686815057372911		cosine	answerdotai_ModernBERT-base	8	head
micro	-0.3487400716207441	6.606948785071297	7.7709375928343984	0.0573575937767036	0.8713829337203534	1.0296264056955349	0.35728585728585727	14183.0	cosine	answerdotai_ModernBERT-base	8	head
macro	-0.1929673621680381	6.048163017520635	6.949294790159268	0.18592069655965496	0.9087593277346593	2.817930121514809	0.2958748539754128		euclidean	answerdotai_ModernBERT-base	8	head
micro	-0.19345630842988237	6.606948785071297	7.7709375928343984	0.18023979005349774	0.9117713485637383	2.7594431291373973	0.27913627913627914	14183.0	euclidean	answerdotai_ModernBERT-base	8	head
macro	-0.3522322706745244	5.980340688222951	7.66255927736607	0.0557753226172475	0.8601241439246455	1.026713123782274	0.37219139744049945		cosine	answerdotai_ModernBERT-base	10	head
micro	-0.3555328688331619	6.58227234597494	8.596556185942532	0.05340154322879763	0.866459289677102	1.0266792566300145	0.3611468611468611	14183.0	cosine	answerdotai_ModernBERT-base	10	head
macro	-0.19731631385392479	5.980340688222951	7.66255927736607	0.18007974869730778	0.9031502697934808	2.9060289266588297	0.2894893691464038		euclidean	answerdotai_ModernBERT-base	10	head
micro	-0.19865220275878395	6.58227234597494	8.596556185942532	0.1741549266755364	0.9063201122999094	2.855375933862583	0.27405977405977405	14183.0	euclidean	answerdotai_ModernBERT-base	10	head
macro	-0.3576636376833054	6.0608231047538945	7.624016072852199	0.0545368814164024	0.8564971499581682	1.0333978103655017	0.36337406814734624		cosine	answerdotai_ModernBERT-base	11	head
micro	-0.3585217580961636	6.627038883143508	8.604878591441992	0.05342630448491159	0.8629598256455564	1.0330617254009145	0.3494923494923495	14183.0	cosine	answerdotai_ModernBERT-base	11	head
macro	-0.2006973293773324	6.0608231047538945	7.624016072852199	0.1813946761544769	0.9027565244129894	2.9818623083378375	0.28550949520269		euclidean	answerdotai_ModernBERT-base	11	head
micro	-0.19946210813106263	6.627038883143508	8.604878591441992	0.17773462464922227	0.9055039459002795	2.9176589428363826	0.2742027742027742	14183.0	euclidean	answerdotai_ModernBERT-base	11	head
macro	-0.3538374226277521	6.022306900356471	7.188652663982564	0.04953261610743742	0.8624434330971661	1.035202040084322	0.3522047464255754		cosine	answerdotai_ModernBERT-base	0,1	head
micro	-0.3582765188064318	6.617429348975378	8.117865440012652	0.04697658957523342	0.8694037868233057	1.0323430947844752	0.33969683969683967	14183.0	cosine	answerdotai_ModernBERT-base	0,1	head
macro	-0.20070643701889418	6.022306900356471	7.188652663982564	0.14660149132056927	0.9027231121301367	2.1720982759275578	0.2794732928534667		euclidean	answerdotai_ModernBERT-base	0,1	head
micro	-0.201567849355708	6.617429348975378	8.117865440012652	0.14189605593942964	0.9050900815123898	2.1450444494673664	0.26304876304876307	14183.0	euclidean	answerdotai_ModernBERT-base	0,1	head
macro	-0.3541937748896276	5.994801240690058	6.906510950581076	0.05771841234001551	0.8602700606540243	1.031251750875217	0.3691480238541347		cosine	answerdotai_ModernBERT-base	0,2	head
micro	-0.35819057104381996	6.533106654620819	7.697374980204952	0.05537539009079887	0.867596495225122	1.0306826989252265	0.3579293579293579	14183.0	cosine	answerdotai_ModernBERT-base	0,2	head
macro	-0.20015522595135463	5.994801240690058	6.906510950581076	0.17652922311872038	0.9046034240280612	2.0954071215144614	0.2927180657099512		euclidean	answerdotai_ModernBERT-base	0,2	head
micro	-0.20125147255169296	6.533106654620819	7.697374980204952	0.1692016324095514	0.9087088049922392	2.0544369536863942	0.2781352781352781	14183.0	euclidean	answerdotai_ModernBERT-base	0,2	head
macro	-0.35086274132263245	5.964445003040902	7.292996273504705	0.058743396900308685	0.8613526997570935	1.0307430008158804	0.3680752528724215		cosine	answerdotai_ModernBERT-base	0,4	head
micro	-0.35673058623767634	6.528308994393122	8.263947971927548	0.05734290503297945	0.8674234800190695	1.030506616923003	0.3527813527813528	14183.0	cosine	answerdotai_ModernBERT-base	0,4	head
macro	-0.19663038858675388	5.964445003040902	7.292996273504705	0.18243187556075974	0.9049138611742416	2.0572624323305266	0.2909951904556572		euclidean	answerdotai_ModernBERT-base	0,4	head
micro	-0.19835357663900424	6.528308994393122	8.263947971927548	0.17733467816483858	0.9075400980126633	2.0274191016546697	0.27641927641927644	14183.0	euclidean	answerdotai_ModernBERT-base	0,4	head
macro	-0.3512195099755256	6.027118176199943	6.989706120049992	0.0585852605595027	0.8622647839254983	1.0297942358013616	0.3685675288148324		cosine	answerdotai_ModernBERT-base	0,3	head
micro	-0.3557774537868343	6.6238170801002685	7.8352172115844105	0.05673145204971963	0.8694357871840667	1.0283395694754154	0.35814385814385813	14183.0	cosine	answerdotai_ModernBERT-base	0,3	head
macro	-0.1972973356862608	6.027118176199943	6.989706120049992	0.17999319930396782	0.9055837198985116	2.0541283137000543	0.2943791333602416		euclidean	answerdotai_ModernBERT-base	0,3	head
