model	embedding_type	label_type	pair_significance_bucket	n_systems	n_rows	n_samples_eval_total	n_samples_eval_mean	n_labels_mean	silhouette_cosine_mean	silhouette_cosine_weighted_mean	silhouette_euclidean_mean	silhouette_euclidean_weighted_mean	nearest_centroid_loo_acc_cosine_mean	nearest_centroid_loo_acc_cosine_weighted_mean	nearest_centroid_loo_acc_euclidean_mean	nearest_centroid_loo_acc_euclidean_weighted_mean	within_between_ratio_cosine_mean	within_between_ratio_cosine_weighted_mean	within_between_ratio_euclidean_mean	within_between_ratio_euclidean_weighted_mean	kmeans_ari_mean	kmeans_ari_weighted_mean	kmeans_ami_mean	kmeans_ami_weighted_mean
answerdotai_ModernBERT-base	orig	conditioned-cat-only	all	76	76	1862	24.5	1.381578947368421	0.2629070571899254	0.23485710517828315	0.1533121647957	0.13704220285695523	0.9298665016568378	0.9180327868852459	0.9268757383489019	0.9163934426229509	0.6251345531869695	0.5868402433680022	0.7816873594691942	0.7561477352814051	0.3660254591910471	0.4079227132435628	0.4183644704067801	0.49762964014760575
answerdotai_ModernBERT-base	orig	conditioned-cat-only	pair_not_significant	14	14	25	1.7857142857142858	0.14285714285714285	0.3933402480861154	0.3933402480861154	0.21362166998743004	0.21362166998743004	1.0	1.0	1.0	1.0	0.6320236524055574	0.6320236524055574	0.811365005476873	0.811365005476873	0.17105263157894737	0.17105263157894737	0.26393323144085945	0.26393323144085945
answerdotai_ModernBERT-base	orig	conditioned-cat-only	pair_significant	62	62	1837	29.629032258064516	1.6612903225806452	0.25895453625367715	0.23266204779728822	0.15148460403231423	0.13598154541747498	0.9277412441312874	0.9168975069252078	0.9246598516322018	0.9152354570637119	0.6249257926045881	0.5862144343785625	0.7807880368629009	0.7553829531457339	0.37193372669444413	0.4112034622970892	0.4230442049208989	0.500866432511965
answerdotai_ModernBERT-base	orig	conditioned-exclude	all	76	76	8568	112.73684210526316	2.8815789473684212	0.0687725984635461	0.06259594829934559	0.04128579494312658	0.038043911699297474	0.7486832039528034	0.7483629560336763	0.7489300008589337	0.7487638647601229	0.8185151772446688	0.8311452972214339	0.8978833278885543	0.9046977919660485	0.14487414881251018	0.12049005884022031	0.21391167762582028	0.18764860394654886
answerdotai_ModernBERT-base	orig	conditioned-exclude	pair_not_significant	14	14	2146	153.28571428571428	2.2857142857142856	0.041983249413280306	0.049468109683189924	0.02436381489687932	0.028275986854617984	0.7050086997291871	0.7168195718654434	0.7033194718494831	0.7143730886850153	0.89181242984956	0.89435941662262	0.9406964514243104	0.942026502322106	0.048867690827466316	0.039550527338836836	0.07709047811032539	0.06468065852271711
answerdotai_ModernBERT-base	orig	conditioned-exclude	pair_significant	62	62	6422	103.58064516129032	3.0161290322580645	0.07350013064888712	0.0662662656963043	0.04427202671599373	0.04077485511944984	0.7563904694040298	0.7571819425444597	0.7569789177429543	0.7583789329685362	0.8055803679614527	0.8134717190372789	0.8903280707940092	0.8942613279728621	0.16181646492751794	0.14311935672065157	0.23805659518737818	0.222028321930127
answerdotai_ModernBERT-base	orig	form	all	76	76	14183	186.6184210526316	2.0	0.3312568313550111	0.3318444753379097	0.19154710006180664	0.19200506028570566	0.9949726663247592	0.995346541634351	0.9948625462566253	0.9952055277444828	0.6681178041253816	0.6675532957974035	0.8082998137737534	0.8078474258886529	0.8955691604903905	0.8935299890799625	0.8804511509634498	0.8790827466735242
answerdotai_ModernBERT-base	orig	form	pair_not_significant	14	14	2735	195.35714285714286	2.0	0.33098807743752934	0.33089076159136543	0.19136998392935048	0.19140258840727972	0.9964106245513281	0.9963436928702011	0.9964106245513281	0.9963436928702011	0.669968170155505	0.6700503105010631	0.8089189661313373	0.8088818593267176	0.8673344194599666	0.8648605823091285	0.8545542904788697	0.8518421401367939
answerdotai_ModernBERT-base	orig	form	pair_significant	62	62	11448	184.6451612903226	2.0	0.3313175177234748	0.33207232361680544	0.19158709402719995	0.1921489946486944	0.99464796608005	0.9951083158630328	0.9945129801900796	0.9949336128581412	0.6676999795379343	0.66695674310571	0.8081600051768797	0.8076002931621411	0.9019447471746802	0.9003792926717016	0.8862988291373873	0.8855907008033246
answerdotai_ModernBERT-base	orig	raw	all	76	76	14183	186.6184210526316	8.986842105263158	-0.06344301566546005	-0.06319077914226184	-0.030184967753743543	-0.02999106217353121	0.6028662633682064	0.6023166023166023	0.6036915622753469	0.6030316030316031	0.8394379017466236	0.8390656131065197	0.9093352789618082	0.9090186324005447	0.12171501612726095	0.12128513362970493	0.1986360291247826	0.19914372067587002
