model	cache_path	embedding_type	system_id	lemma	msps	n_tokens_total_system	n_tokens_with_conditioning	n_tokens_unmatched_conditioning	n_tokens_unexpected_form	n_meanings_total_system	n_meanings_with_conditioning	n_forms_observed_system	observed_forms	expected_form_1	expected_form_2	pair_p_value	pair_test_type	pair_significant	pair_attested_meanings	cond_no_cond_count_expected	cond_prob_count_expected	cond_cat_count_expected	cond_no_cond_count_matched	cond_prob_count_matched	cond_cat_count_matched	system_notes	layer	label_type	label_column	n_samples_eval	n_labels	label_entropy	label_max_count	label_min_count	label_singleton_fraction	label_sparse_fraction	silhouette_cosine	silhouette_euclidean	within_cosine	between_cosine	within_between_ratio_cosine	within_euclidean	between_euclidean	within_between_ratio_euclidean	nearest_centroid_loo_acc_cosine	nearest_centroid_loo_acc_euclidean	kmeans_ari	kmeans_ami	kmeans_pca_components_used
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	break__ppt	break	ppt	198	126	72	0	28	6	2	broke,broken	broke	broken	0.2008	fisher_exact	False	28	4	1	1	4	1	1		0	conditioned-cat-only	cat_only_label	25	2.0	0.7219280948873623	20.0	5.0	0.0	0.0	0.004249796352000712	0.030083092720156513	0.6428511035404597	0.6634087981402672	0.9690120259824156	1.5580830361242455	1.649396252042413	0.9446383997750109	0.52	0.56	-0.02666666666666667	-0.04146777140497051	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	burn__ppt	burn	ppt	198	151	47	0	15	4	2	burned,burnt	burned	burnt	0.0028	fisher_exact	True	15	3	1	0	3	1	0		0	raw	raw_label	198	15.0	2.8391360051667687	85.0	1.0	0.13333333333333333	0.13333333333333333	-0.12456212200420927	-0.06908198896358653	0.5579362050951473	0.5619914748962203	0.9927841079763322	1.2601896556166372	1.268007419281062	0.9938346073173158	0.2878787878787879	0.30808080808080807	0.03770805560667854	0.11021392497843965	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	burn__ppt	burn	ppt	198	151	47	0	15	4	2	burned,burnt	burned	burnt	0.0028	fisher_exact	True	15	3	1	0	3	1	0		0	conditioned-exclude	conditioned_exclude_label	130	3.0	1.255601055871499	85.0	16.0	0.0	0.0	-0.06181607161165966	-0.03279145829824992	0.5632259269357471	0.5288751353569631	1.0649506646887437	1.2696774304890999	1.2240075927041554	1.0373117275229051	0.4846153846153846	0.5076923076923077	-0.05606271205909543	0.017460474795902892	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	burn__ppt	burn	ppt	198	151	47	0	15	4	2	burned,burnt	burned	burnt	0.0028	fisher_exact	True	15	3	1	0	3	1	0		0	conditioned-cat-only	cat_only_label	0																			
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	burn__pst	burn	pst	198	130	68	0	20	3	2	burned,burnt	burned	burnt	0.0	fisher_exact	True	21	2	0	1	2	0	1		0	raw	raw_label	198	20.0	3.042396475146948	89.0	1.0	0.05	0.4	-0.22244695355232047	-0.1111793351776323	0.5712931635988221	0.5999763609382515	0.95219278757154	1.314171813762001	1.3607649049548922	0.9657596319369836	0.25757575757575757	0.2878787878787879	0.045288294605146585	0.1100217311831507	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	burn__pst	burn	pst	198	130	68	0	20	3	2	burned,burnt	burned	burnt	0.0	fisher_exact	True	21	2	0	1	2	0	1		0	conditioned-exclude	conditioned_exclude_label	130	4.0	1.3101187762447488	89.0	3.0	0.0	0.0	-0.051208079400747994	-0.0130473571552244	0.5724542363201333	0.5892583400157358	0.9714826205172525	1.314526468561109	1.3463320500606966	0.9763761239300858	0.5769230769230769	0.6	0.041561119769532404	0.04404086399754953	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	burn__pst	burn	pst	198	130	68	0	20	3	2	burned,burnt	burned	burnt	0.0	fisher_exact	True	21	2	0	1	2	0	1		0	conditioned-cat-only	cat_only_label	23	2.0	0.5586293734521992	20.0	3.0	0.0	0.0	0.07771467198635816	0.0447166843603177	0.4595951375529127	0.5139016740709567	0.8943250445404355	1.2138511576033193	1.2920028242399508	0.9395112261595822	0.782608695652174	0.7391304347826086	0.1419736667109988	0.03058256480655912	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	creep__ppt	creep	ppt	200	173	27	0	7	3	2	creeped,crept	creeped	crept	0.0	fisher_exact	True	7	0	1	2	0	1	2		0	raw	raw_label	200	7.0	2.047756286887821	73.0	1.0	0.14285714285714285	0.2857142857142857	-0.08175128180930931	-0.04028133935039236	0.35236283245158767	0.48495243660071585	0.7265925601312208	1.095493942441729	1.29305860920888	0.8472113596706763	0.5	0.51	0.2725770760151743	0.3426022652327409	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	creep__ppt	creep	ppt	200	173	27	0	7	3	2	creeped,crept	creeped	crept	0.0	fisher_exact	True	7	0	1	2	0	1	2		0	conditioned-exclude	conditioned_exclude_label	100	3.0	0.992997266270944	72.0	3.0	0.0	0.0	0.2643738091853793	0.15520566736599561	0.33314623423246775	0.5589246062433124	0.5960486092599074	1.0426111151748276	1.3723724696438488	0.7597143911269225	0.96	0.96	0.42401793010589545	0.5016696790688866	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	creep__ppt	creep	ppt	200	173	27	0	7	3	2	creeped,crept	creeped	crept	0.0	fisher_exact	True	7	0	1	2	0	1	2		0	conditioned-cat-only	cat_only_label	100	3.0	0.992997266270944	72.0	3.0	0.0	0.0	0.2643738091853793	0.15520566736599561	0.33314623423246775	0.5589246062433124	0.5960486092599074	1.0426111151748276	1.3723724696438488	0.7597143911269225	0.96	0.96	0.42401793010589545	0.5016696790688866	0.0
