system_id	lemma	msps	cond_bucket	n_tokens	optimal_k	best_silhouette	k_range	silhouettes	inertias	note
sew__ppt	sew	ppt	no_cond	121	2	0.13462971109005478	2-10	0.134630,0.093734,0.062588,0.064537,0.059215,0.060200,0.052052,0.053020,0.050895	16818.485737,15979.863562,15414.972903,14925.783030,14460.332828,14047.998712,13761.143912,13593.056817,13235.131279	
shake__ppt	shake	ppt	no_cond	124	2	0.15295627620330765	2-10	0.152956,0.117829,0.113931,0.116509,0.095020,0.076949,0.089653,0.078870,0.079876	16603.445216,15303.135944,14373.992442,13662.326902,13075.205050,12856.409827,12336.890928,12006.406428,11782.938816	
sink__pst	sink	pst	no_cond	39	2	0.11108672451949758	2-10	0.111087,0.084254,0.085404,0.083311,0.068198,0.088240,0.078114,0.055082,0.049656	4762.439236,4387.486749,4105.749677,3807.414600,3677.384171,3365.732014,3229.265528,3041.559072,2825.868378	
slink__pst	slink	pst	no_cond	133	2	0.19182574316102208	2-10	0.191826,0.153251,0.100376,0.081514,0.050907,0.071262,0.040065,0.038829,0.044152	12265.580048,11396.583891,10809.227746,10511.743548,10324.906561,10008.776945,9972.587525,9764.689864,9509.253197	
sneak__ppt	sneak	ppt	no_cond	200	2	0.31581065489296833	2-10	0.315811,0.227344,0.090136,0.062942,0.055000,0.057393,0.052009,0.041285,0.041237	20917.476580,19903.092748,19085.159377,18606.833494,18200.821054,17888.359523,17557.407162,17321.157995,17079.816737	
sneak__pst	sneak	pst	no_cond	188	2	0.2966249773215677	2-10	0.296625,0.183334,0.089309,0.079312,0.068746,0.054837,0.051552,0.064710,0.048303	19630.352516,18473.798700,17659.836277,17221.333006,16866.743284,16588.491973,16324.254294,16104.251891,15920.294544	
speak__ppt	speak	ppt	no_cond	102	2	0.31561324461627044	2-10	0.315613,0.299839,0.251351,0.257033,0.079243,0.045848,0.070762,0.066359,0.063644	16467.696981,15196.091902,14528.891712,13941.545412,13368.836518,13121.772871,12676.038130,12209.419504,12001.043972	
speak__pst	speak	pst	no_cond	97	2	0.2674479059232334	2-10	0.267448,0.152513,0.093312,0.079191,0.055731,0.044627,0.056486,0.062944,0.048062	12579.329358,11753.992364,11286.644277,10866.159260,10600.878310,10404.323384,10046.582320,9831.502955,9608.266809	
speed__ppt	speed	ppt	no_cond	173	2	0.15465098898797852	2-10	0.154651,0.137547,0.102559,0.071112,0.069671,0.072155,0.067347,0.067205,0.080363	23610.503115,21657.322339,20802.318618,20000.341617,19381.511447,18748.925944,18131.497138,17752.165692,17244.801567	
spill__ppt	spill	ppt	no_cond	125	2	0.15552800565535124	2-10	0.155528,0.133528,0.125630,0.133480,0.138189,0.099545,0.097429,0.105397,0.109418	17784.647073,16140.736795,14891.818237,14205.797962,13576.912775,13266.506821,12878.843968,12420.395568,12065.388845	
spill__pst	spill	pst	no_cond	17	2	0.13757531833852962	2-10	0.137575,0.127714,0.122191,0.093261,0.081949,0.083919,0.082737,0.082643,0.083573	1906.022833,1624.278874,1424.543943,1279.658176,1146.303494,1006.281142,869.179251,742.026752,621.309580	
