model	cache_path	embedding_type	system_id	lemma	msps	n_tokens_total_system	n_tokens_with_conditioning	n_tokens_unmatched_conditioning	n_tokens_unexpected_form	n_meanings_total_system	n_meanings_with_conditioning	n_forms_observed_system	observed_forms	expected_form_1	expected_form_2	pair_p_value	pair_test_type	pair_significant	pair_attested_meanings	cond_no_cond_count_expected	cond_prob_count_expected	cond_cat_count_expected	cond_no_cond_count_matched	cond_prob_count_matched	cond_cat_count_matched	system_notes	layer	label_type	label_column	n_samples_eval	n_labels	label_entropy	label_max_count	label_min_count	label_singleton_fraction	label_sparse_fraction	silhouette_cosine	silhouette_euclidean	within_cosine	between_cosine	within_between_ratio_cosine	within_euclidean	between_euclidean	within_between_ratio_euclidean	nearest_centroid_loo_acc_cosine	nearest_centroid_loo_acc_euclidean	kmeans_ari	kmeans_ami	kmeans_pca_components_used
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	break__ppt	break	ppt	198	126	72	0	28	6	2	broke,broken	broke	broken	0.2008	fisher_exact	False	28	4	1	1	4	1	1		0	conditioned-cat-only	cat_only_label	25	2.0	0.7219280948873623	20.0	5.0	0.0	0.0	0.9999992251396179	1.0	5.194544792175293e-07	0.6023616850376129	8.62363082049439e-07	0.0	741.2282104492188	0.0	1.0	1.0	1.0	1.0	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	burn__ppt	burn	ppt	198	151	47	0	15	4	2	burned,burnt	burned	burnt	0.0028	fisher_exact	True	15	3	1	0	3	1	0		0	raw	raw_label	198	15.0	2.8391360051667687	85.0	1.0	0.13333333333333333	0.13333333333333333	-0.9040396213531494	-0.9040403962135315	0.23168652876111667	0.238276108953337	0.9723447716971456	394.6388272536685	405.8630991579628	0.9723446848763018	0.03535353535353535	0.03535353535353535	0.009805308459531962	0.04260642717509564	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	burn__ppt	burn	ppt	198	151	47	0	15	4	2	burned,burnt	burned	burnt	0.0028	fisher_exact	True	15	3	1	0	3	1	0		0	conditioned-exclude	conditioned_exclude_label	130	3.0	1.255601055871499	85.0	16.0	0.0	0.0	-0.08986598998308182	-0.08986593037843704	0.23455723632650916	0.23971223147439635	0.9784950683735227	399.5286005323014	408.3093203009055	0.9784949318273385	0.4461538461538462	0.4461538461538462	0.01093647737782647	0.013871246803013864	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	burn__ppt	burn	ppt	198	151	47	0	15	4	2	burned,burnt	burned	burnt	0.0028	fisher_exact	True	15	3	1	0	3	1	0		0	conditioned-cat-only	cat_only_label	0																			
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	burn__pst	burn	pst	198	130	68	0	20	3	2	burned,burnt	burned	burnt	0.0	fisher_exact	True	21	2	0	1	2	0	1		0	raw	raw_label	198	20.0	3.042396475146948	89.0	1.0	0.05	0.4	-0.9141403436660767	-0.9141414165496826	0.22468986417685957	0.24035768788493797	0.9348145514048264	382.7212285183739	409.40871003080053	0.934814573167193	0.020202020202020204	0.020202020202020204	0.02357234606002199	0.05189731950624415	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	burn__pst	burn	pst	198	130	68	0	20	3	2	burned,burnt	burned	burnt	0.0	fisher_exact	True	21	2	0	1	2	0	1		0	conditioned-exclude	conditioned_exclude_label	130	4.0	1.3101187762447488	89.0	3.0	0.0	0.0	-0.6461536288261414	-0.6461538672447205	0.22354205185569323	0.25176346369978586	0.8879050540957558	380.7661219257013	428.83651489933436	0.8879050843305236	0.17692307692307693	0.17692307692307693	0.05987036468713371	0.1559150744662808	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	burn__pst	burn	pst	198	130	68	0	20	3	2	burned,burnt	burned	burnt	0.0	fisher_exact	True	21	2	0	1	2	0	1		0	conditioned-cat-only	cat_only_label	23	2.0	0.5586293734521992	20.0	3.0	0.0	0.0	0.9999998211860657	1.0	1.414452192079218e-07	0.4711848497390747	3.001905075815767e-07	2.6018184012102465e-05	802.5841674804688	3.241801304625864e-08	1.0	1.0	1.0	1.0	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	creep__ppt	creep	ppt	200	173	27	0	7	3	2	creeped,crept	creeped	crept	0.0	fisher_exact	True	7	0	1	2	0	1	2		0	raw	raw_label	200	7.0	2.047756286887821	73.0	1.0	0.14285714285714285	0.2857142857142857	-0.554989755153656	-0.5550000071525574	0.055400395146544136	0.2891476318690317	0.191598993180195	33.337618885217665	173.99820760535266	0.19159748450300765	0.08	0.08	0.4330541720083875	0.44865079350096115	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	creep__ppt	creep	ppt	200	173	27	0	7	3	2	creeped,crept	creeped	crept	0.0	fisher_exact	True	7	0	1	2	0	1	2		0	conditioned-exclude	conditioned_exclude_label	100	3.0	0.992997266270944	72.0	3.0	0.0	0.0	0.24999934434890747	0.25	1.2508844653807058e-07	0.3965124167191931	3.154717009194121e-07	0.0	238.6064953578254	0.0	0.28	0.28	0.9093164383038815	0.8974226748303596	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	creep__ppt	creep	ppt	200	173	27	0	7	3	2	creeped,crept	creeped	crept	0.0	fisher_exact	True	7	0	1	2	0	1	2		0	conditioned-cat-only	cat_only_label	100	3.0	0.992997266270944	72.0	3.0	0.0	0.0	0.24999934434890747	0.25	1.2508844653807058e-07	0.3965124167191931	3.154717009194121e-07	0.0	238.6064953578254	0.0	0.28	0.28	0.9093164383038815	0.8974226748303596	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	creep__pst	creep	pst	199	192	7	0	6	4	2	creeped,crept	creeped	crept	0.0	fisher_exact	True	6	0	1	3	0	1	3		0	raw	raw_label	199	6.0	2.074652806440842	80.0	1.0	0.16666666666666666	0.16666666666666666	-0.17343194782733917	-0.17343400418758392	0.03451611203401112	0.2899873973882806	0.11902624853657187	20.770295993534173	174.50351683777538	0.1190250853960896	0.16080402010050251	0.16080402010050251	0.451526007529047	0.46716566555638395	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	creep__pst	creep	pst	199	192	7	0	6	4	2	creeped,crept	creeped	crept	0.0	fisher_exact	True	6	0	1	3	0	1	3		0	conditioned-exclude	conditioned_exclude_label	150	5.0	1.6571237065559545	80.0	2.0	0.0	0.2	0.0	0.0	2.843366560095576e-07	0.34689545930451376	8.196609335262575e-07	0.0	208.748742272128	0.0	0.22666666666666666	0.44	0.7304259081114287	0.7409710458514103	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	creep__pst	creep	pst	199	192	7	0	6	4	2	creeped,crept	creeped	crept	0.0	fisher_exact	True	6	0	1	3	0	1	3		0	conditioned-cat-only	cat_only_label	150	5.0	1.6571237065559545	80.0	2.0	0.0	0.2	0.0	0.0	2.843366560095576e-07	0.34689545930451376	8.196609335262575e-07	0.0	208.748742272128	0.0	0.22666666666666666	0.44	0.7304259081114287	0.7409710458514103	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	disprove__ppt	disprove	ppt	197	197	0	0	1	1	2	disproved,disproven	disproved	disproven		fisher_exact	False	1	1	0	0	1	0	0		0	raw	raw_label	197	1.0	-0.0	197.0	197.0	0.0	0.0													0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	disprove__ppt	disprove	ppt	197	197	0	0	1	1	2	disproved,disproven	disproved	disproven		fisher_exact	False	1	1	0	0	1	0	0		0	conditioned-exclude	conditioned_exclude_label	197	1.0	-0.0	197.0	197.0	0.0	0.0													0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	disprove__ppt	disprove	ppt	197	197	0	0	1	1	2	disproved,disproven	disproved	disproven		fisher_exact	False	1	1	0	0	1	0	0		0	conditioned-cat-only	cat_only_label	0																			
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	dive__pst	dive	pst	198	182	16	0	7	3	2	dived,dove	dived	dove	0.0014	fisher_exact	True	7	1	2	0	1	2	0		0	raw	raw_label	198	7.0	1.907799970324791	73.0	1.0	0.42857142857142855	0.42857142857142855	-0.5094524621963501	-0.5094529986381531	0.43383532877032754	0.4666300394756546	0.9297201038703423	404.4810395861928	435.05677317839707	0.9297201296997932	0.24242424242424243	0.24242424242424243	0.03014284283532387	0.0300052825861248	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	dive__pst	dive	pst	198	182	16	0	7	3	2	dived,dove	dived	dove	0.0014	fisher_exact	True	7	1	2	0	1	2	0		0	conditioned-exclude	conditioned_exclude_label	67	1.0	-0.0	67.0	67.0	0.0	0.0													0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	dive__pst	dive	pst	198	182	16	0	7	3	2	dived,dove	dived	dove	0.0014	fisher_exact	True	7	1	2	0	1	2	0		0	conditioned-cat-only	cat_only_label	0																			
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	dream__ppt	dream	ppt	199	181	18	0	5	3	2	dreamed,dreamt	dreamed	dreamt	0.0015	fisher_exact	True	5	3	0	0	3	0	0		0	raw	raw_label	199	5.0	1.6985903204516677	111.0	4.0	0.0	0.0	-0.5427103638648987	-0.5427109003067017	0.2573536160272544	0.2629790147358346	0.97860894446566	150.33528124493054	153.6214119095779	0.9786089020807752	0.06532663316582915	0.06532663316582915	0.01026476536803612	0.037263720277945535	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	dream__ppt	dream	ppt	199	181	18	0	5	3	2	dreamed,dreamt	dreamed	dreamt	0.0015	fisher_exact	True	5	3	0	0	3	0	0		0	conditioned-exclude	conditioned_exclude_label	181	3.0	1.3099792748760353	111.0	22.0	0.0	0.0	-0.11442558467388153	-0.11442553997039795	0.2595854971841345	0.2609273047099274	0.9948575426888167	151.63905567933764	152.4228990815433	0.9948574432914682	0.4088397790055249	0.4088397790055249	0.0025678487425366383	0.007907648252042458	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	dream__ppt	dream	ppt	199	181	18	0	5	3	2	dreamed,dreamt	dreamed	dreamt	0.0015	fisher_exact	True	5	3	0	0	3	0	0		0	conditioned-cat-only	cat_only_label	0																			
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	dream__pst	dream	pst	197	190	7	0	5	4	2	dreamed,dreamt	dreamed	dreamt	0.0	chi_sq	True	5	0	4	0	0	4	0		0	raw	raw_label	197	5.0	2.0094602437853	69.0	7.0	0.0	0.0	-0.39025428891181946	-0.39025479555130005	0.2098173158573401	0.28024380640085145	0.7486956395290476	122.56652226956172	163.70679707095843	0.7486953777272636	0.1319796954314721	0.1319796954314721	0.10860856086172574	0.10449855338456192	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	dream__pst	dream	pst	197	190	7	0	5	4	2	dreamed,dreamt	dreamed	dreamt	0.0	chi_sq	True	5	0	4	0	0	4	0		0	conditioned-exclude	conditioned_exclude_label	0																			
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	dream__pst	dream	pst	197	190	7	0	5	4	2	dreamed,dreamt	dreamed	dreamt	0.0	chi_sq	True	5	0	4	0	0	4	0		0	conditioned-cat-only	cat_only_label	0																			
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	drink__ppt	drink	ppt	200	183	17	0	7	3	2	drank,drunk	drank	drunk	0.0185	fisher_exact	True	7	2	1	0	2	1	0		0	raw	raw_label	200	7.0	1.8199338849640223	104.0	1.0	0.2857142857142857	0.2857142857142857	-0.9899991750717163	-0.9900000095367432	0.2924384772439854	0.3059550836357372	0.9558215989382143	400.64605574567327	419.1640411091742	0.9558216269828408	0.0	0.0	0.020681179064921403	0.02019332848539277	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	drink__ppt	drink	ppt	200	183	17	0	7	3	2	drank,drunk	drank	drunk	0.0185	fisher_exact	True	7	2	1	0	2	1	0		0	conditioned-exclude	conditioned_exclude_label	132	2.0	0.7455178428108284	104.0	28.0	0.0	0.0	-0.0264996737241745	-0.02649962157011032	0.29704095874882175	0.29101004877260755	1.0207240609100983	406.95157287193166	398.68912095289966	1.020724046593707	0.4696969696969697	0.4696969696969697	-0.009036779587509638	-0.005575178156578395	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	drink__ppt	drink	ppt	200	183	17	0	7	3	2	drank,drunk	drank	drunk	0.0185	fisher_exact	True	7	2	1	0	2	1	0		0	conditioned-cat-only	cat_only_label	0																			
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	drive__ppt	drive	ppt	142	93	49	0	15	4	2	driven,drove	driven	drove	0.0	fisher_exact	True	15	0	0	4	0	0	4		0	raw	raw_label	142	15.0	3.2081115221477225	31.0	1.0	0.3333333333333333	0.4	-0.5563378930091858	-0.5563380122184753	0.099277368452866	0.3255799262147201	0.30492472188654696	131.2648165122812	430.4829924210258	0.304924512288049	0.16901408450704225	0.0	0.17104443157979618	0.24857474877882363	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	drive__ppt	drive	ppt	142	93	49	0	15	4	2	driven,drove	driven	drove	0.0	fisher_exact	True	15	0	0	4	0	0	4		0	conditioned-exclude	conditioned_exclude_label	93	6.0	2.257035960830074	27.0	3.0	0.0	0.0	0.0	0.0	1.0073497033244028e-07	0.37368852883048204	2.695693406691034e-07	0.0	494.0923600221233	0.0	0.5483870967741935	0.17204301075268819	0.435860144552057	0.5950817167860935	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	drive__ppt	drive	ppt	142	93	49	0	15	4	2	driven,drove	driven	drove	0.0	fisher_exact	True	15	0	0	4	0	0	4		0	conditioned-cat-only	cat_only_label	93	6.0	2.257035960830074	27.0	3.0	0.0	0.0	0.0	0.0	1.0073497033244028e-07	0.37368852883048204	2.695693406691034e-07	0.0	494.0923600221233	0.0	0.5483870967741935	0.17204301075268819	0.435860144552057	0.5950817167860935	0.0
transfo-xl-wt103	head_embed_cache_transfo-xl-wt103.jsonl	orig	eat__ppt	eat	ppt	199	171	28	0	8	2	2	ate,eaten	ate	eaten	0.0053	fisher_exact	True	8	1	1	0	1	1	0		0	raw	raw_label	199	8.0	1.4428159561419673	142.0	1.0	0.125	0.25	-0.9698492288589478	-0.9698492288589478	0.25419581335117586	0.2676172693241339	0.9498483188067278	393.96178667545985	414.76285847563145	0.9498482774551672	0.010050251256281407	0.010050251256281407	0.025765404472585372	0.031336766596962724	0.0
