embedding_type_layer	layer	model	embedding_type	label_type	pair_significance_bucket	n_systems	n_rows	n_samples_eval_total	n_samples_eval_mean	n_labels_mean	silhouette_cosine_mean	silhouette_cosine_weighted_mean	silhouette_euclidean_mean	silhouette_euclidean_weighted_mean	nearest_centroid_loo_acc_cosine_mean	nearest_centroid_loo_acc_cosine_weighted_mean	nearest_centroid_loo_acc_euclidean_mean	nearest_centroid_loo_acc_euclidean_weighted_mean	within_between_ratio_cosine_mean	within_between_ratio_cosine_weighted_mean	within_between_ratio_euclidean_mean	within_between_ratio_euclidean_weighted_mean	kmeans_ari_mean	kmeans_ari_weighted_mean	kmeans_ami_mean	kmeans_ami_weighted_mean
orig	6	bert_base_uncased	orig	conditioned-exclude	pair_significant	62	62	6422	103.58064516129032	3.169491525423729	0.14120777957506625	0.11762115213811071	0.09021259804128431	0.07627172321342339	0.7706395404818731	0.7681258549931601	0.7712431477146398	0.7691518467852257	0.7112864778671087	0.7282552219361577	0.8209097425835236	0.8311419564375585	0.2629066588079341	0.21833075665696433	0.32867483038947515	0.29180974501339435
orig	6	bert_base_uncased	orig	conditioned-exclude	pair_not_significant	14	14	2146	153.28571428571428	2.6666666666666665	0.14310451183054182	0.14731348070803038	0.08217763279875119	0.08451752580178258	0.8185397081409617	0.8250764525993883	0.8191066015649978	0.8256880733944955	0.7790621516492295	0.7826386170947784	0.8745945809311305	0.8765807925537074	0.20397872861203933	0.19708277661704657	0.21777135840677744	0.2049876858052363
orig	6	bert_base_uncased	orig	raw	all	76	76	14183	186.6184210526316	8.986842105263158	-0.004783652604091912	-0.004808217664693394	0.0026683194601597885	0.0026930494590187105	0.6587049341822038	0.6628771628771629	0.6611148844698674	0.6654511654511654	0.7422891649556556	0.7429565349992269	0.84527996676165	0.845876532831247	0.20952798491507296	0.20911916594308821	0.31280943120692034	0.3129014080041335
orig	6	bert_base_uncased	orig	raw	pair_significant	62	62	11448	184.6451612903226	9.5	-0.018130421389697962	-0.0190767463493362	-0.00416823479087813	-0.004641324383647433	0.645715970389803	0.6492837176799441	0.6484691320078433	0.6522536687631028	0.7327052972726128	0.7337902582432813	0.838604091012468	0.8394501784381291	0.2108296433374701	0.20944773373391212	0.32562886440087274	0.32534752820024654
orig	6	bert_base_uncased	orig	raw	pair_not_significant	14	14	2735	195.35714285714286	6.714285714285714	0.05887016775802924	0.0595519542745465	0.035273424349725246	0.03577575700466174	0.7206522999613452	0.7241922773837668	0.7214253962118284	0.7249802994483846	0.7879968415978593	0.7843022939834917	0.8771187587962098	0.8748634930725453	0.20332007551594816	0.20763711548235061	0.251670595974224	0.25676146158762386
orig	7	bert_base_uncased	orig	conditioned-cat-only	all	76	76	1862	24.5	2.9166666666666665	0.3072519541498931	0.3029078330096529	0.18084298160872148	0.18164533631484242	0.9261115719675542	0.9267418032786885	0.9235816279364737	0.9251024590163934	0.5851480887576598	0.5235392027714069	0.7547954324679997	0.7094838642524074	0.4458390666407264	0.4942749199375892	0.4738146125301667	0.5581368387256163
orig	7	bert_base_uncased	orig	conditioned-cat-only	pair_significant	62	62	1837	29.629032258064516	2.942857142857143	0.3148236408208807	0.30630840834209544	0.185279971260267	0.18368443622075825	0.9287210135423285	0.9279432132963988	0.9261144045406092	0.9262811634349031	0.5745095174122847	0.5178233891926862	0.7485350411281695	0.7059948825012996	0.460157422195496	0.5014901773697812	0.4894292302251709	0.5664416117191147
orig	7	bert_base_uncased	orig	conditioned-cat-only	pair_not_significant	14	14	25	1.7857142857142858	2.0	0.05738629400730133	0.05738629400730133	0.03442232310771942	0.03442232310771942	0.84	0.84	0.84	0.84	0.9362209431550345	0.9362209431550345	0.9613883466823959	0.9613883466823959	-0.02666666666666667	-0.02666666666666667	-0.04146777140497051	-0.04146777140497051
orig	7	bert_base_uncased	orig	conditioned-exclude	all	76	76	8568	112.73684210526316	3.084507042253521	0.14028831091709434	0.1266329055530053	0.08541825988019507	0.0768708079267001	0.7949915033959297	0.7987438193238006	0.7976556200465678	0.8016838166510758	0.7384507877867038	0.7534982462942249	0.8431200344044184	0.8527708447253121	0.2531764962621635	0.21967709613713088	0.3136085550138387	0.27794612873779606
orig	7	bert_base_uncased	orig	conditioned-exclude	pair_significant	62	62	6422	103.58064516129032	3.169491525423729	0.14204892463178612	0.1245313180085315	0.08737726250261653	0.07699200634449012	0.7906488126668235	0.7906976744186046	0.7935989658217983	0.7944596443228454	0.7283755330424748	0.7408876220452046	0.8358240347333927	0.8434689059509037	0.2644556393104242	0.2284753793929593	0.3322702050085594	0.29956773731746
